Dihydromotuporamine C sensitive
Baetz et al. 2004. PNAS 101; 4525-4530.
15070751
YCL034W
YNL314W
YML099C
YBR078W
YNL267W
YLR286C
YDL192W
YBR290W
YLR025W
YHR147C
YOL040C
YAL005C
YIL047C
YBR265W
YMR296C
YJR007W
YML092C
YER140W
YER188W
YGR205W
YLR294C
