Gamma sensitive as diploids
Game et al. 2003. Rad Res 160; 14-24.
12816519
YOR141C
YPL194W
YBR244W
YDL066W
YLR288C
YGL087C
YBR098W
YDR386W
YMR091C
YOR368W
YER173W
YLR032W
YGL163C
YDR076W
YDR004W
YDL059C
YDR217C
YBR073W
YMR242C
YGR056W
YGL175C
YBL031W
YHR025W
YMR223W
YGR184C
YBR099C
YDR014W
YDR540C
YKL076C
YLR426W
YML117W
YNR068C
YPL208W
