SDL with Pif1 overexpression
Chang et al. 2009. Genetics 183; 779-791.
19704012
YMR284W
YMR106C
YML036W
YLR150W
YDR254W
YBR107C
YLR381W
YPR046W
YJR135C
YPL017C
YMR078C
YCL016C
YHR191C
YPR135W
YKL113C
YOR144C
YJL115W
YLL002W
YCL061C
YDR217C
YKL139W
YJL124C
YIR033W
YDL116W
YGR222W
YER070W
YJL148W
YOR001W
YMR190C
YBR231C
YDR260C
YML028W
YDR495C
YNL107W
YLR200W
YDL220C
YDR082W
YNL102W
YHR164C
YDL164C
YKL045W
YPL153C
