Hydrogen peroxide (5mM) Sensitive
Auesukaree et al. 2009. J. Applied Genetics 50; 301-310.
19638689
YAR029W
YDL047W
YDL093W
YDR074W
YDR079W
YDR323C
YEL027W
YER154W
YFR010W
YGL071W
YGL168W
YHR206W
YIL098C
YIR037W
YJL140W
YJR104C
YKL194C
YKR001C
YLR337C
YLR346C
YLR382C
YML007W
YNL005C
YNL064C
YNL138W
YNL307C
YNR006W
YNR037C
YNR042W
YOR331C
