Tetraploid Sensitive
Storchova et al. 2006. Nature 443; 541-547.
17024086
YDR054C
YLR079W
YAR019C
YMR001C
YFL008W
YGR098C
YDL003W
YOR026W
YMR078C
YJR120W
YOR073W
YGR188C
YCL016C
YKL113C
YER016W
YLR234W
YMR190C
YNL250W
YMR224C
YGL163C
YER095W
YML032C
YDL059C
YPL253C
YCL029C
YPR141C
YKR010C
YOL069W
YBR156C
YGR113W
YPL209C
YKL052C
YGR140W
YLR045C
YHR172W
YLR212C
YDR356W
YNL225C
YBR109C
