Most (SSS) gamma sensitive
Bennett et al. 2001. Nature Genetics 29; 436-434.
11726929
YGL058W
YCR066W
YNL250W
YDR369C
YER095W
YML032C
YDR076W
YDR004W
YJL092W
YDR217C
YLR403W
YDL116W
YKL057C
YKR082W
YGR056W
YPR131C
YDL160C
YPL008W
YPR135W
YHR191C
YPL129W
YDR359C
YKL054C
YHL031C
YJR090C
YLR226W
YBR200W
YAL035W
YCR020W-B
YCL016C
YDR014W
