FK506 Sensitive
Parsons et al. 2004. Nature Biotech 22; 62-69.
14661025
YKL119C
YHR060W
YHR026W
YHR039C-A
YGR167W
YOL072W
YBR127C
YLR447C
YGR020C
YKL118W
YGR036C
YEL027W
YLR342W
YPR036W
YKL080W
YOR332W
YPL234C
YPL045W
YGR105W
YPL069C
YMR307W
YNL238W
YKL212W
YLR372W
YKR001C
YAL026C
YNL322C
YAL023C
YDR137W
YBR200W
YGL084C
YDL020C
YGR229C
YDR136C
YLR261C
