UV Sensitive Strains
Birrell et al. 2001. PNAS 98; 12608-12613.
11606770
YBR098W
YBR099C
YCR066W
YDL059C
YDL101C
YDR004W
YDR076W
YDR217C
YDR386W
YEL037C
YER095W
YER162C
YER173W
YGL087C
YGL163C
YGL175C
YGR258C
YHR025W
YHR134W
YIL139C
YJL092W
YJL124C
YJR052W
YLR032W
YLR288C
YML095C
YMR201C
YNL107W
YOR290C
YOR368W
YPL022W
