Biofilm formation (score <=-26)
Ryan et al. 2012. Science 337; 1353-1356.
22984072
YAL013W
YCR095C
YDL090C
YDL146W
YDR071C
YDR444W
YDR494W
YDR515W
YER020W
YER103W
YER178W
YFL027C
YGL083W
YGR193C
YHR039C
YHR045W
YHR160C
YHR194W
YJL089W
YJR014W
YKL040C
YLL040C
YMR158C-A
YNL009W
YNL056W
YNL085W
YNL099C
YNL291C
YNR031C
YOL062C
YOL110W
YPL176C
YPR027C
