Cyclohexamide Sensitive
Parsons et al. 2004. Nature Biotech 22; 62-69.
14661025
YDR129C
YCR077C
YJL124C
YBL007C
YGR092W
YFR019W
YKL119C
YGL072C
YBR289W
YOL004W
YEL044W
YCR009C
YLR056W
YOL051W
YGL012W
YML008C
YMR272C
YER019W
YHR010W
YHR060W
YMR116C
YNL298W
YAL013W
YKL213C
YMR202W
YNL325C
YJR075W
YOR298C-A
YDR432W
YML103C
YOR153W
YNL097C
YHR026W
YNL162W
YLR357W
YMR263W
YHR039C-A
YDR048C
YDR049W
YIL040W
YJL095W
YHR013C
YOR312C
YEL003W
YDR462W
YDR388W
YMR166C
YPL084W
YMR123W
YDR075W
YDR069C
