1M NaCl Sensitive
Auesukaree et al. 2009. J. Applied Genetics 50; 301-310.
19638689
YAL016W
YBL007C
YBR037C
YCR009C
YCR053W
YDL047W
YDL185W
YDR069C
YDR074W
YDR079W
YDR126W
YDR388W
YDR477W
YDR495C
YDR506C
YEL051W
YER077C
YER123W
YER154W
YGL071W
YGL095C
YGR285C
YIL039W
YIL124W
YJL128C
YJL129C
YJR104C
YJR121W
YKL139W
YKR001C
YKR041W
YLR113W
YLR270W
YLR337C
YLR369W
YML112W
YNL138W
YNL307C
YNR045W
YPL045W
YPR100W
YPR133W-A
