SUMO interacting by Yeast-2-Hybrid
Makhnevych et al. 2009. Molecular Cell 33; 124-135
19150434
YCL018W
YCL031C
YDL013W
YDL172C
YER032W
YFR021W
YFR040W
YGR037C
YHR056C
YIL133C
YIL144W
YLL019C
YLR106C
YML012W
YML012C-A
YNL078W
YNR054C
YOR202W
YOR299W
YPL038W
YPR152C
YAL016W
YDR277C
YDR330W
YDR477W
YDR510W
YER047C
YGL011C
YGL190C
YGL215W
YKL087C
YOL130W
YOR362C
YPL049C
